Residential,450 Folsom Street,-122.394933364,37.78782009
"Office (Management, Information, Professional Services)",250 Howard Street,-122.39469904800002,37.790419474
Residential,33 Tehama Street,-122.395870224,37.787440706
Residential,340 Fremont Street,-122.39281338699999,37.78679485
Residential,526 Mission Street,-122.39840561300001,37.789663433
"Office (Management, Information, Professional Services)",350 Mission Street,-122.396684284,37.790630217
Mixed Uses (With Residential),50 1st Street,-122.39884409499999,37.790311077
Residential,299 Fremont Street,-122.39361372,37.788194573
Residential,160 Folsom Street,-122.391818689,37.789543853
Residential,1500 Mission Street,-122.41805398399998,37.77433514
"Office (Management, Information, Professional Services)",415 Mission Street,-122.39687036999999,37.789473917
"Office (Management, Information, Professional Services)",33 8th Street,-122.41338805000001,37.777794822
"Office (Management, Information, Professional Services)",1500 Mission Street,-122.41799612100002,37.774864585
Mixed Uses (With Residential),181 Fremont Street,-122.395045592,37.789707111
Residential,500 Folsom Street,-122.39506555299998,37.787015086
"Office (Management, Information, Professional Services)",350 Bush Street,-122.40343480100002,37.790934745
Residential,399 Fremont Street,-122.392118458,37.786916213
"Office (Management, Information, Professional Services)",222 2nd Street,-122.398296563,37.786634408
Residential,1411 Market Street,-122.417380796,37.776222472
"Office (Management, Information, Professional Services)",535 Mission Street,-122.39807833900001,37.788651504
Residential,55 9th Street,-122.415232623,37.776811167
Residential,45 Lansing Street,-122.39356355,37.785943332
Mixed Uses (With Residential),1190 Mission Street,-122.413167865,37.777628878
Residential,338 Main Street,-122.39150120099998,37.788507922
Residential,301 Beale Street,-122.392218846,37.788425954
"Office (Management, Information, Professional Services)",525 Golden Gate Avenue,-122.41890758100001,37.781123654000005
Residential,425 1st Street,-122.39200097700001,37.785588382
Residential,1 Hawthorne Street,-122.398807927,37.785570213
Mixed Uses (With Residential),706 Mission Street,-122.403126765,37.78602212
Residential,1188 Mission Street,-122.41261257800001,37.778048502
Residential,301 Mission Street,-122.396108241,37.790162691
"Office (Management, Information, Professional Services)",555 Mission Street,-122.398215586,37.788516675
"Hotels, Visitor Services",888 Howard Street,-122.40496138200001,37.781673276
Mixed Uses (With Residential),125 3rd Street,-122.401466962,37.785988987
Residential,401 Harrison Street,-122.39202683,37.786226594
Residential,301 Main Street,-122.391190328,37.789469803
Residential,338 Spear Street,-122.39066019899998,37.789252835
Residential,355 1st Street,-122.39349177900002,37.786687472
Residential,680 Mission Street,-122.40177632200002,37.787081194
Residential,501 Beale Street,-122.389078504,37.785962578
Residential,400 Beale Street,-122.39069681000001,37.786658589
Residential,388 Beale Street,-122.39205561900002,37.78800635
"Office (Management, Information, Professional Services)",55 2nd Street,-122.400258744,37.788545555
"Office (Management, Information, Professional Services)",2 Folsom Street,-122.390964217,37.790304431
"Office (Management, Information, Professional Services)",560 Mission Street,-122.399354047,37.788525599
"Office (Management, Information, Professional Services)",33 New Montgomery Street,-122.401451306,37.788384374
"Office (Management, Information, Professional Services)",150 California Street,-122.398678082,37.793493388
"Office (Management, Information, Professional Services)",101 2nd Street,-122.39909199,37.788377963
"Hotels, Visitor Services",181 3rd Street,-122.40051450600001,37.78521078
"Office (Management, Information, Professional Services)",199 Fremont Street,-122.394757579,37.789725783
"Hotels, Visitor Services",757 Market Street,-122.40366118,37.786191177
Residential,235 Pine Street,-122.400375814,37.791815687
"Office (Management, Information, Professional Services)",160 Spear Street,-122.39375388000002,37.791087255
"Office (Management, Information, Professional Services)",505 Montgomery Street,-122.40350248100002,37.79379736400001
Mixed Uses (Without Residential),600 California Street,-122.404671361,37.79319812600001
Mixed Uses (With Residential),121 Spear Street,-122.392501194,37.791485568
"Office (Management, Information, Professional Services)",135 Main Street,-122.39408442400001,37.791350794
"Hotels, Visitor Services",333 Battery Street,-122.40043483800001,37.794606884
"Office (Management, Information, Professional Services)",201 Spear Street,-122.391860093,37.790967701
Mixed Uses (With Residential),345 Spear Street,-122.38998123200001,37.789637069
"Hotels, Visitor Services",55 4th Street,-122.405042868,37.785961552
"Office (Management, Information, Professional Services)",275 Battery Street,-122.40063005700001,37.793679987
"Office (Management, Information, Professional Services)",100 First Street,-122.397535382,37.78904302
Mixed Uses (Without Residential),301 Howard Street,-122.394330255,37.789333109
"Office (Management, Information, Professional Services)",123 Mission Street,-122.39434572499998,37.791639162
"Office (Management, Information, Professional Services)",75 Hawthorne Street,-122.397931341,37.78529632400001
"Hotels, Visitor Services",222 Mason Street,-122.40938025200002,37.785411124
Mixed Uses (Without Residential),88 Kearny Street,-122.403163796,37.788767054
Mixed Uses (With Residential),333 Bush Street,-122.40316099600001,37.790412413
"Office (Management, Information, Professional Services)",71 Stevenson Street,-122.39972117400002,37.789584782
Mixed Uses (With Residential),388 Market Street,-122.39831054100001,37.79207969
"Office (Management, Information, Professional Services)",455 Market Street,-122.398246538,37.790490074
Mixed Uses (With Residential),345 California Street,-122.40085312299999,37.792343181
"Office (Management, Information, Professional Services)",555 Montgomery Street,-122.40360525599999,37.794253198
"Office (Management, Information, Professional Services)",100 Spear Street,-122.393961643,37.791985258
"Hotels, Visitor Services",55 Cyril Magnin Street,-122.409191596,37.784473685
"Hotels, Visitor Services",50 3rd Street,-122.40308915899999,37.786201156
"Office (Management, Information, Professional Services)",150 Spear Street,-122.393597931,37.791544287
"Office (Management, Information, Professional Services)",50 Fremont Street,-122.39721786200002,37.79025308
"Office (Management, Information, Professional Services)",1 Sansome Street,-122.401038364,37.790289808000004
"Office (Management, Information, Professional Services)",456 Montgomery Street,-122.40255661600001,37.793464757
"Office (Management, Information, Professional Services)",1275 Market Street,-122.415675276,37.777172012
Mixed Uses (With Residential),655 Montgomery Street,-122.40376746700001,37.795046861
"Office (Management, Information, Professional Services)",353 Sacramento Street,-122.399489432,37.793812125
Mixed Uses (Without Residential),201 Mission Street,-122.39453130600002,37.790831947
"Office (Management, Information, Professional Services)",25 Jessie Street,-122.39865265999998,37.789516719
"Office (Management, Information, Professional Services)",101 Montgomery Street,-122.402351823,37.790225653
"Office (Management, Information, Professional Services)",580 California Street,-122.40430052399999,37.792781498
Mixed Uses (Without Residential),101 California Street,-122.39846800800001,37.792529537
Residential,601 Montgomery Street,-122.403697239,37.794673635
"Office (Management, Information, Professional Services)",505 Sansome Street,-122.401899402,37.794901465
"Office (Management, Information, Professional Services)",120 Kearny Street,-122.403049303,37.789396975
"Office (Management, Information, Professional Services)",150 Drumm Street,-122.39647931600001,37.795048165
"Office (Management, Information, Professional Services)",444 Market Street,-122.39918753899998,37.791493896
"Office (Management, Information, Professional Services)",45 Fremont Street,-122.39711309900001,37.790982287
"Office (Management, Information, Professional Services)",180 Montgomery Street,-122.40218353,37.790592238
"Office (Management, Information, Professional Services)",350 California Street,-122.40102009500002,37.793205607
"Office (Management, Information, Professional Services)",333 Market Street,-122.397343558,37.792199401
"Office (Management, Information, Professional Services)",595 Market Street,-122.400454013,37.789249923
Mixed Uses (Without Residential),1 Market Street,-122.394434159,37.793026925
"Office (Management, Information, Professional Services)",1455 Market Street,-122.41711557400001,37.774490591
Mixed Uses (Without Residential),1 Market Street,-122.39383101,37.793604586
"Hotels, Visitor Services",5 The Embarcadero,-122.396240681,37.794581651
"Hotels, Visitor Services",1500 Van Ness Avenue,-122.42156120099999,37.79002963
"Hotels, Visitor Services",480 Sutter Street,-122.40804589199999,37.789412995
"Office (Management, Information, Professional Services)",100 Van Ness Avenue,-122.419041385,37.776863275
Mixed Uses (Without Residential),425 Market Street,-122.39806521,37.790880956
"Office (Management, Information, Professional Services)",600 Montgomery Street,-122.40300796500001,37.794900333
"Office (Management, Information, Professional Services)",100 Pine Street,-122.39883698900002,37.792772357
"Office (Management, Information, Professional Services)",525 Market Street,-122.399184552,37.79019478
"Office (Management, Information, Professional Services)",575 Market Street,-122.400256617,37.789344817
"Office (Management, Information, Professional Services)",50 California Street,-122.397520904,37.793789171
"Office (Management, Information, Professional Services)",611 Folsom Street,-122.396434558,37.784658194
"Office (Management, Information, Professional Services)",201 Clay Street,-122.39883255700002,37.794899395
"Hotels, Visitor Services",750 Kearny Street,-122.404502709,37.794955173
"Hotels, Visitor Services",330 Taylor Street,-122.410802283,37.78523381
"Office (Management, Information, Professional Services)",101 Clay Street,-122.39771804000002,37.794933837
"Office (Management, Information, Professional Services)",77 Beale Street,-122.39581491200002,37.791488843
"Office (Management, Information, Professional Services)",400 California Street,-122.4015972,37.793182439
"Hotels, Visitor Services",345 Stockton Street,-122.40710248899998,37.789319049
"Office (Management, Information, Professional Services)",555 California Street,-122.40408483199998,37.791880023
"Office (Management, Information, Professional Services)",475 Sansome Street,-122.40221473600002,37.794397126
"Hotels, Visitor Services",335 Powell Street,-122.409354565,37.787508477
"Office (Management, Information, Professional Services)",1 Post Street,-122.402781858,37.788614588
"Office (Management, Information, Professional Services)",301 Clay Street,-122.400002898,37.79445071
"Office (Management, Information, Professional Services)",425 California Street,-122.40123268,37.7929339
Residential,999 Green Street,-122.41535475800002,37.798262024
"Office (Management, Information, Professional Services)",50 Beale Street,-122.396332631,37.790918291
Residential,1400 Geary Blvd,-122.426984767,37.785628198
"Office (Management, Information, Professional Services)",450 Sansome Street,-122.400927427,37.794560735
"Office (Management, Information, Professional Services)",180 Sansome Street,-122.40040224199998,37.791825581000005
"Office (Management, Information, Professional Services)",1 California Street,-122.39734801000002,37.7930143
"Office (Management, Information, Professional Services)",555 Pine Street,-122.404687727,37.791272456
Residential,1050 North Point Street,-122.42501754,37.80522625100001
Residential,1000 North Point Street,-122.424393213,37.805429954
Mixed Uses (With Residential),300 Clay Street,-122.399088879,37.795965217
Residential,1750 Taylor Street,-122.413287298,37.798614261
"Office (Management, Information, Professional Services)",44 Montgomery Street,-122.401967325,37.789527461
Residential,10 Miller Place,-122.40896111500001,37.793096313
"Office (Management, Information, Professional Services)",555 Market Street,-122.399884185,37.789640897
Residential,1200 Gough Street,-122.42428188599999,37.784808461
"Office (Management, Information, Professional Services)",650 California Street,-122.405369088,37.79266831
Mixed Uses (With Residential),1390 Market Street,-122.417578092,37.777354099
Residential,1070 Green Street,-122.41672143699999,37.798967376
Residential,2200 Sacramento Street,-122.429692293,37.790489341
Residential,1170 Sacramento Street,-122.41221151700002,37.792685022
"Office (Management, Information, Professional Services)",680 Folsom Street,-122.39870505599998,37.784254468
"Hotels, Visitor Services",950 Mason Street,-122.409435577,37.792713174
"Office (Management, Information, Professional Services)",111 Pine Street,-122.39908756300001,37.792005547
Residential,1200 California Street,-122.414573992,37.79148699200001
Residential,405 Davis Court,-122.39853233100001,37.796230184
Residential,155 Jackson Street,-122.399245484,37.796640415
"Office (Management, Information, Professional Services)",601 California Street,-122.404849942,37.79217306900001
"Hotels, Visitor Services",201 Mason Street,-122.40978272100001,37.786108751
"Office (Management, Information, Professional Services)",450 Golden Gate Avenue,-122.418195627,37.781658682
"Office (Management, Information, Professional Services)",1 Bush Street,-122.400104064,37.790779503
Medical,500 Parnassus Avenue,-122.45793445200002,37.76239346
"Office (Management, Information, Professional Services)",100 Bush Street,-122.39979724799998,37.791771953
"Hotels, Visitor Services",450 Powell Street,-122.408059106,37.789090253
"Office (Management, Information, Professional Services)",100 Montgomery Street,-122.40209643900002,37.790156025
"Office (Management, Information, Professional Services)",351 California Street,-122.40092330200001,37.792737917
"Office (Management, Information, Professional Services)",220 Bush Street,-122.40126903000001,37.791586539
"Office (Management, Information, Professional Services)",450 Sutter Street,-122.407671335,37.789924511
"Hotels, Visitor Services",100 McAllister Street,-122.413892999,37.781374331
Residential,1101 Green Street,-122.41727265799999,37.798136582
"Office (Management, Information, Professional Services)",235 Montgomery Street,-122.40268274800002,37.791786640000005
"Office (Management, Information, Professional Services)",111 Sutter Street,-122.402236182,37.789666432
Residential,1201 California Street,-122.414462231,37.790881786
"Hotels, Visitor Services",999 California Street,-122.410486668,37.791164698
"Office (Management, Information, Professional Services)",140 New Montgomery Street,-122.399770639,37.786505638
"Office (Management, Information, Professional Services)",245 Market Street,-122.39636212500001,37.792291262
"Office (Management, Information, Professional Services)",225 Bush Street,-122.40103557700002,37.790881577
"Office (Management, Information, Professional Services)",315 Montgomery Street,-122.40317134000001,37.79192899
"Office (Management, Information, Professional Services)",1 Market Street,-122.39488528,37.793355747
"Office (Management, Information, Professional Services)",1 Dr Carlton B Goodlett Place,-122.41953322000002,37.778657198
"Office (Management, Information, Professional Services)",582 Market Street,-122.40166810099998,37.789567894
"Office (Management, Information, Professional Services)",785 Market Street,-122.40512023100001,37.785933703000005
"Office (Management, Information, Professional Services)",703 Market Street,-122.40357645600001,37.787049942
"Cultural, Institutional, Educational",One Ferry Building,-122.392950833,37.794691694
Residential,690 Market Street,-122.402966935,37.788313651
